"%s advgroup invite";"%s group invitation";"%s group invitations"

"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s member waiting for approval or waiting for an invite response.";"This group has %s members waiting for approval or waiting for an invite response."

"&#187; Discussions";"&#187; Discussions"
"Discussions";"Discussions"
"Back to Group";"Back to Group"
"reply";"reply";"replies"

"What's New";"What's New"
"Last Post";"Last Post"

"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Open";"Open"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."

"Join Group";"Join Group"
"or";"or"
"ignore request";"ignore request"

"Post New Topic";"Post New Topic"
"View All";"View All"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Groups Per Page";"Groups Per Page"
"How many groups will be shown per page? (Enter a number between 1 and 999)";"How many groups will be shown per page? (Enter a number between 1 and 999)"
"Maximum Poll Options";"Maximum Poll Options"
"Change Poll Vote?";"Change Poll Vote?"
"How many possible poll answers do you want to permit in a group? (Enter a number between 1 and 100)";"How many possible poll answers do you want to permit in a group? (Enter a number between 1 and 100)"
"Do you want to permit the group members to change their poll vote in their group?.";"Do you want to permit the group members to change their poll vote in their group?."
"Last Post";"Last Post"
"Yes, group members can change their vote.";"Yes, group members can change their vote."
"No, group members cannot change their vote.";"No, group members cannot change their vote."
"No topics have been posted in this group yet.";"No topics have been posted in this group yet."
"total views";"total views"
"total members";"total members"
"last updated";"last updated"

"Add Friend";"Add Friend"
"Remove Friend";"Remove Friend"
"Remove Member";"Remove Member"
"Approve Request";"Approve Request"
"Reject Request";"Reject Request"
"Cancel Invite";"Cancel Invite"
"Demote Officer";"Demote Officer"
"Make Officer";"Make Officer"

"Previous";"Previous"
"Next";"Next"
"Closed";"Closed"
"view";"view"
"delete";"delete"

"No photos have been uploaded to this group yet.";"No photos have been uploaded to this group yet."
"By";"By"

"View All Photos";"View All Photos"
"Upload Photos";"Upload Photos"

"The image you selected was too large.";"The image you selected was too large."
"Your changes have been saved.";"Your changes have been saved."

"You are now a member of this group.";"You are now a member of this group."
"You have successfully left this group.";"You have successfully left this group."

"Group membership request sent";"Your group membership request has been sent."
"Group membership request cancelled.";"Your group membership request has been cancelled."

"Are you sure you want to leave this group? You will leave all it\'s sub-groups too.";"Are you sure you want to leave this group? You will leave all it\'s sub-groups too."
"Are you sure you want to remove this member from the group? It will remove this member from all it 's sub-groups too.";"Are you sure you want to remove this member from the group? It will remove this member from all it 's sub-groups too."
"Cannot add a non-member as an officer";"Cannot add a non-member as an officer"
"Cannot remove a non-member as an officer";"Cannot remove a non-member as an officer"

"Invalid Data";"Invalid Data"
"Invalid Method";"Invalid Method"

"You have accepted the invite to the group %s";"You have accepted the invite to the group %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the group %s"

"Member Added BlackList";"This member has been successfully added to blacklist."
"Member Removed BlackList";"This member has been successfully removed from blacklist."
"Member Promoted";"This member has been successfully promoted."
"Member Demoted";"This member has been successfully demoted."
"Group member removed.";"This member has been successfully removed from the group."
"Members invited";"The selected members have been successfully invited."
"Group invite canceled.";"This invitation has been successfully canceled for this user."
"Can not invite a member of group";"Can not invite a member of group"

"Invite Member";"Invite Member"
"Are you sure you want to resend a invitation to this member?";"Are you sure you want to resend a invitation to this member?"

"The report will be sent to admin.";"The report will be sent to admin."

"Group request approved";"This member's group request has been approved."
"Member title changed";"This member's title has been successfully changed."

"Changes saved";"Your changes have been saved."
"Photo deleted";"The photo has been successfully deleted."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Post deleted.";"The selected post has been deleted."
"This has been closed for posting.";"This topic is closed for posting."
"Topic renamed.";"The selected topic has been successfully renamed."
"Topic deleted.";"The selected topic has been deleted."

"All My Groups";"All My Groups"
"Only Groups I Lead";"Only Groups I Lead"
"Search:";"Search:"
"View:";"View:"

"Accept Group Invitation";"Accept Group Invitation"
"Would you like to join this group?";"Would you like to join this group?"
"Join Group";"Join Group"
"Cancel";"Cancel"

"Approve Group Membership Request";"Approve Group Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this group?"
"Approve Request";"Approve Request"

"Cancel Group Membership Request";"Cancel Group Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this group?"
"Cancel Request";"Cancel Request"

"Demote Member";"Demote Member"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this member from officer?"

"Edit Member Title";"Edit Member Title"
"Enter a special title for this person.";"Enter a special title for this person."
"Title";"Title"
"Save Changes";"Save Changes"

"Join Group";"Join Group"
"Would you like to join this group?";"Would you like to join this group?"

"Leave Group";"Leave Group"
"Are you sure you want to leave this group?";"Are you sure you want to leave this group?"

"Report Group";"Report Group"
